"","sender_cells","receiver_cells","ligand","receptor","prob"
"728","GSM1271948_E14_1_C06_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"729","GSM1271949_E14_1_C09_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"730","GSM1271950_E14_1_C10_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"731","GSM1271951_E14_1_C14_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"732","GSM1271953_E14_1_C18_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"733","GSM1271954_E14_1_C22_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"734","GSM1271955_E14_1_C25_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"735","GSM1271957_E14_1_C39_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"736","GSM1271958_E14_1_C44_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"737","GSM1271959_E14_1_C46_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"738","GSM1271960_E14_1_C50_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"739","GSM1271962_E14_1_C54_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"740","GSM1271963_E14_1_C56_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"741","GSM1271964_E14_1_C57_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"742","GSM1271971_E14_1_C70_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"743","GSM1271972_E14_1_C73_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"744","GSM1271974_E14_1_C75_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"745","GSM1271975_E14_1_C76_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"746","GSM1271978_E14_1_C79_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"747","GSM1271984_E14_1_C87_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"748","GSM1271987_E14_1_C94_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"749","GSM1271988_E14_1_C95_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"750","GSM1271989_E14_1_C96_IL3938","GSM1272044_E16_1_C40_IL4148","Mdk","Sdc4",0.360872599986761
"751","GSM1271946_E14_1_C02_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"752","GSM1271947_E14_1_C05_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"753","GSM1271948_E14_1_C06_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"754","GSM1271949_E14_1_C09_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"755","GSM1271950_E14_1_C10_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"756","GSM1271951_E14_1_C14_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"757","GSM1271953_E14_1_C18_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"758","GSM1271954_E14_1_C22_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"759","GSM1271955_E14_1_C25_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"760","GSM1271957_E14_1_C39_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"761","GSM1271958_E14_1_C44_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"762","GSM1271959_E14_1_C46_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"763","GSM1271960_E14_1_C50_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"764","GSM1271962_E14_1_C54_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"765","GSM1271963_E14_1_C56_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
